signal_type,mass_GeV,stage,raw_events,sum_weights,sum_weights_squared,effective_events,weighted_cross_section_pb,cumulative_efficiency,incremental_efficiency,sigma_total_error_pb
vector,3.981,Qe2,7414,1699.64484175,687.446786828,4202.20538293,0.111565241946,0.325802074657,0.325802074657,0.00201479945889
vector,3.981,Qe2+pt,1477,320.738510368,122.452791382,840.104916123,0.0210533804661,0.0614818281642,0.188709136456,0.00201479945889
vector,3.981,Qe2+pt+eta,1363,314.096816241,121.517264182,811.87484459,0.0206174174966,0.0602086929345,0.979292495559,0.00201479945889
vector,3.981,all_Table_I_cuts,1203,295.798692269,116.286720224,752.423545691,0.0194163226691,0.0567011561797,0.94174368212,0.00201479945889
vector,5,inclusive,20000,5382.5384375,2421.94582831,11962.1668216,0.166609132307,1,1,0.00096571365349
vector,5,Qe2,7156,1550.70224175,604.965236353,3974.90185892,0.047999871801,0.288098684246,0.288098684246,0.00096571365349
vector,5,Qe2+pt,1640,306.394843297,112.987421472,830.869478888,0.00948403426706,0.0569238560681,0.197584574942,0.00096571365349
vector,5,Qe2+pt+eta,1433,297.882571761,111.992804394,792.318997983,0.00922054851752,0.055342395641,0.972217967363,0.00096571365349
vector,5,all_Table_I_cuts,1274,284.519451949,109.173071435,741.495292505,0.0088069113791,0.0528597157741,0.955139638642,0.00096571365349
vector,6.31,inclusive,20000,5295.26444172,2401.5252042,11675.8406111,0.0748409406559,1,1,0.000446838262468
vector,6.31,Qe2,7676,1619.59142851,665.023415554,3944.33689694,0.0228905935335,0.305856571723,0.305856571723,0.000446838262468
vector,6.31,Qe2+pt,1779,339.611256866,132.277053398,871.926028189,0.00479991626498,0.0641349002687,0.209689462965,0.000446838262468
vector,6.31,Qe2+pt+eta,1779,339.611256866,132.277053398,871.926028189,0.00479991626498,0.0641349002687,1,0.000446838262468
vector,6.31,all_Table_I_cuts,1589,326.865944437,129.216993581,826.836646418,0.00461977961994,0.0617279737461,0.962470877596,0.000446838262468
